account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,charge_per_min,high_service_user,day_night_ratio,Actual_Churn,Churn_Probability,Predicted_Churn,Net_Impact_KES
172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0.16999198151030612,0,0.7227847669700999,0,0.46153846153846156,0,0
57,415,0,1,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,0.169971671388102,0,1.3047143505609236,0,0.17578125,0,0
125,415,0,0,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,0.16998842741416997,0,1.1077346754665023,0,0.46153846153846156,0,0
7,415,0,0,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11.0,5,2.97,3,0.16999661361327464,0,1.3040186739007003,0,0.46153846153846156,0,0
77,408,1,1,44,103.2,117,17.54,236.3,86,20.09,203.5,101,9.16,11.9,2,3.21,0,0.16994477279333395,0,0.5071003881873127,1,1.0,1,60
45,415,0,1,22,196.6,84,33.42,313.2,92,26.62,163.3,108,7.35,11.9,3,3.21,0,0.16998118101825951,0,1.2038454473087992,0,0.17578125,0,0
109,415,0,0,0,137.0,128,23.29,217.0,116,18.45,182.1,86,8.19,10.0,5,2.7,2,0.16998759214655865,0,0.7522925704244688,0,0.46153846153846156,0,0
141,415,0,1,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8.0,3,2.16,4,0.17000161803570465,1,0.8492510649993129,0,0.17578125,0,0
72,415,0,0,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4,0.1700105596620908,1,1.192705766387383,0,0.46153846153846156,0,0
90,415,0,0,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,0.16998333496716006,0,0.5407984730396056,0,0.46153846153846156,0,0
84,408,0,0,0,86.0,83,14.62,260.7,86,22.16,98.6,109,4.44,8.9,4,2.4,1,0.16998023485641203,0,0.8721225027887638,0,0.46153846153846156,0,0
107,510,0,1,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,0.16997637122316628,0,1.2446029660221514,0,0.17578125,0,0
129,415,0,0,0,159.1,100,27.05,202.5,90,17.21,233.1,96,10.49,11.5,6,3.11,2,0.17000817044811767,0,0.6825104028141221,0,0.46153846153846156,0,0
108,408,0,1,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1,0.1700078735388529,0,0.6585297754377568,0,0.17578125,0,0
120,415,0,0,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,0.16997543323816483,0,0.6466016916405478,0,0.46153846153846156,0,0
123,415,1,0,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,0.17002629272567923,1,0.4981937993727919,1,1.0,1,60
10,408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0.17000698511632906,0,0.658038966090308,0,0.46153846153846156,0,0
80,408,0,0,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,0.16999162297167322,0,1.9796081321786132,1,0.46153846153846156,0,-400
89,510,0,0,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1,0.16998453489519924,0,0.9736951715741244,1,0.46153846153846156,0,-400
61,415,0,1,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10.0,3,2.7,2,0.17000118854245078,0,0.9722275721274218,0,0.17578125,0,0
93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0.16999632950553198,0,1.47133708818764,0,0.46153846153846156,0,0
159,415,0,0,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,0.17000833907400023,0,1.2317448975034613,1,0.46153846153846156,0,-400
124,415,0,0,0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,11.1,6,3.0,3,0.17001312075066596,0,1.3513513513513515,0,0.46153846153846156,0,0
99,408,0,0,0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0.17000157554750275,0,0.7012633052189606,0,0.46153846153846156,0,0
117,408,0,0,0,97.1,98,16.51,228.0,131,19.38,240.0,111,10.8,10.6,3,2.86,1,0.17001338688085676,0,0.4045664763968168,0,0.46153846153846156,0,0
159,510,0,0,0,114.8,98,19.52,192.6,101,16.37,259.0,108,11.66,12.2,5,3.29,0,0.1700200330981622,0,0.4432261302652407,0,0.46153846153846156,0,0
141,415,0,0,0,160.1,87,27.22,256.7,120,21.82,270.0,107,12.15,7.0,1,1.89,2,0.1700081194179002,0,0.5929410021851043,0,0.46153846153846156,0,0
1,415,0,0,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7.0,2,1.89,1,0.17000662893274185,0,0.9271429246844121,0,0.46153846153846156,0,0
98,415,1,0,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,0.17026378896882494,0,0.07378549082108495,0,1.0,1,-100
19,408,0,0,0,186.1,98,31.64,254.3,57,21.62,214.0,127,9.63,14.6,7,3.94,2,0.17000698511632906,0,0.8695855333862904,0,0.46153846153846156,0,0
116,408,0,0,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,0.17000204904036612,0,0.6885847326090024,0,0.46153846153846156,0,0
118,408,0,1,23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,0.17001139856999758,0,2.430526404164218,0,0.17578125,0,0
85,408,0,0,0,127.9,107,21.74,271.2,124,23.05,202.2,76,9.1,12.5,5,3.38,0,0.16996325541396293,0,0.6325107561446023,0,0.46153846153846156,0,0
97,408,0,1,32,168.4,129,28.63,225.9,97,19.2,191.8,95,8.63,8.5,7,2.3,0,0.1700017813669022,0,0.877952140138679,0,0.17578125,0,0
107,408,0,1,36,96.3,83,16.37,179.6,91,15.27,166.3,121,7.48,10.3,2,2.78,1,0.16997196552798255,0,0.5790391437676627,0,0.17578125,0,0
160,415,0,1,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,0.1699775226292449,0,1.3294564251675955,0,0.17578125,0,0
73,415,0,0,0,217.8,91,37.03,220.6,97,18.75,277.3,89,12.48,10.3,6,2.78,1,0.1700105596620908,0,0.7854026180087267,1,0.46153846153846156,0,-400
56,510,0,0,0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,0.16996885560930355,0,0.8997674557271482,0,0.46153846153846156,0,0
113,415,0,0,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0.1700153125145005,1,1.0405098739800107,0,0.46153846153846156,0,0
110,408,0,0,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,0.17000662893274185,0,1.4428666028989772,0,0.46153846153846156,0,0
67,510,0,0,0,129.0,78,21.93,188.0,116,15.98,235.0,102,10.58,11.2,3,3.02,2,0.1699868227269204,0,0.5489128122207566,0,0.46153846153846156,0,0
127,510,0,0,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10.0,1,2.7,2,0.16998796308679953,0,1.4070635468289319,0,0.46153846153846156,0,0
144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0.1700064641241112,0,0.897727780009821,0,0.46153846153846156,0,0
109,510,0,0,0,170.7,101,29.02,240.2,82,20.42,119.0,112,5.36,11.4,4,3.08,2,0.16999589947864802,0,1.4343332493067809,0,0.46153846153846156,0,0
111,415,0,0,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,0.17000105481523156,0,1.1712861908488117,1,0.46153846153846156,0,-400
78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0.16998141631410385,0,0.9582812322382632,0,0.46153846153846156,0,0
128,408,0,0,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1,0,0.16995447647951442,0,0.4921190204787548,0,0.46153846153846156,0,0
177,408,0,0,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,0.1700174133291119,0,0.8388296224160063,0,0.46153846153846156,0,0
46,415,0,0,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,0.16996528835028318,0,0.6954385667697259,0,0.46153846153846156,0,0
48,510,0,0,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,3,0.16996179880705048,0,0.7538780253650649,0,0.46153846153846156,0,0
111,415,0,0,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,0.17001338688085676,0,1.3724180168142086,0,0.46153846153846156,0,0
48,415,0,0,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4,0.16999645946082648,1,0.8088867067632257,0,0.46153846153846156,0,0
119,408,0,0,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,0.17000499788550996,0,1.1352625376456726,1,0.46153846153846156,0,-400
76,510,1,0,0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0,0.17000931890928245,0,1.1842042128496715,1,1.0,1,60
90,408,0,1,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,0.170012512920951,0,1.2754146138366527,0,0.17578125,0,0
97,408,0,1,32,90.0,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2,0.16998111320964338,0,0.4859348847254468,1,0.17578125,0,-400
52,510,0,0,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7.0,8.3,6,2.24,3,0.1699817948890837,0,0.9530235846025321,0,0.46153846153846156,0,0
179,408,0,0,0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,0.16997399753660875,0,0.8957541579829186,0,0.46153846153846156,0,0
96,510,0,0,0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,0.17001838337697064,0,0.6786132849419682,0,0.46153846153846156,0,0
83,408,0,0,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,0.16998665414462952,0,1.988988300068823,0,0.46153846153846156,0,0
105,415,0,0,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,0.16998529470211837,0,1.3643511740144243,0,0.46153846153846156,0,0
61,415,0,0,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,0.16999645946082648,0,0.8945296592914348,0,0.46153846153846156,0,0
125,415,0,0,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,0.1699851900608853,0,1.0622924072023776,0,0.46153846153846156,0,0
108,510,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,0.1699733063992497,0,0.5984197573507188,0,0.46153846153846156,0,0
215,510,0,0,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89,0,0.16995574692022486,0,0.36891575835135254,0,0.46153846153846156,0,0
108,408,0,1,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0.1699782316706035,0,1.104856455657336,0,0.17578125,0,0
132,510,0,0,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,0.17003316249623154,0,0.7953001358804253,0,0.46153846153846156,0,0
51,415,0,0,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,0.17000709955764295,0,0.5872165741958244,0,0.46153846153846156,0,0
112,415,1,0,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,0.16997097152739177,0,1.2081187971046938,0,1.0,1,-100
104,408,1,0,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,0.17000187020759305,1,0.5231401454616614,0,1.0,1,-100
105,510,0,0,0,140.6,109,23.9,178.6,51,15.18,217.0,83,9.76,6.8,3,1.84,2,0.16997368608207097,0,0.6478964103036726,0,0.46153846153846156,0,0
88,415,1,0,0,235.1,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,0.17000552932669816,1,0.8222867335874926,1,1.0,1,60
85,415,0,0,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,0.1699871618087585,0,0.9489643969134968,0,0.46153846153846156,0,0
101,510,0,1,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,0.16997576195142078,0,0.9877234985482146,0,0.17578125,0,0
64,408,1,0,0,236.2,77,40.15,218.6,85,18.58,194.1,97,8.73,13.2,2,3.56,2,0.16997586893018923,0,1.2168358147442173,1,1.0,1,60
104,415,0,0,0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,0.17002784575141336,0,0.46341558797074817,0,0.46153846153846156,0,0
113,408,0,0,0,158.9,137,27.01,242.8,109,20.64,247.8,97,11.15,6.5,4,1.76,0,0.169970423510163,0,0.6412170614583754,0,0.46153846153846156,0,0
144,415,0,1,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,0.16998529470211837,0,1.2026193776588119,0,0.17578125,0,0
86,408,0,0,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,0.1700274430258919,0,0.528339953344682,0,0.46153846153846156,0,0
138,510,0,0,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0.16997411561691114,0,1.1274384312119194,0,0.46153846153846156,0,0
181,415,1,0,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,0.16998326204203087,0,0.6156253578107707,1,1.0,1,60
112,510,0,0,0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0.17000123248839408,0,0.939006982755295,0,0.46153846153846156,0,0
135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0.1699953859336893,0,0.842730959391145,0,0.46153846153846156,0,0
161,415,1,0,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2,0.17000832746140543,0,0.8691052836701743,0,1.0,1,-100
44,510,0,0,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,0.1699601983101739,0,0.6635466382466058,0,0.46153846153846156,0,0
